Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Audi,Q8,Italy,8/2021,98 741 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5.0,60099.0
Lamborghini,Huracan,Germany,11/2022,1 390 km,632 hp,Automatic,Petrol,4x2,13.8 l/100km,331 g/km,Blue,Black interior,Alcantara interior,Coupe,2/3 doors,2.0,422299.0
Audi,SQ8,Germany,8/2020,110 300 km,429 hp,Automatic,Diesel,4x4,7.8 l/100km,204 g/km,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,74399.0
Audi,R8,Germany,7/2023,2 000 km,562 hp,Automatic,Petrol,4x2,12.9 l/100km,293 g/km,Green,Black interior,Full leather interior,Coupe,2/3 doors,2.0,158899.0
Lamborghini,Urus,Netherlands,4/2020,51 559 km,641 hp,Automatic,Petrol,4x4,13.6 l/100km,325 g/km,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,301849.0
Audi,Q8,Belgium,3/2020,164 000 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,59549.0
Audi,RSQ8,Germany,10/2024,4 600 km,591 hp,Manual,Petrol,4x4,12.1 l/100km,277 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,158599.0
Audi,RSQ8,Germany,10/2023,15 193 km,591 hp,Automatic,Petrol,4x4,12.1 l/100km,277 g/km,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,127149.0
Audi,Q8,Italy,10/2024,1 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,109399.0
Audi,SQ8,Germany,11/2024,1 100 km,500 hp,Automatic,Petrol,4x4,12 l/100km,275 g/km,Gold,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,134549.0
Mercedes-Benz,GLS 450,Germany,8/2024,50 km,362 hp,Automatic,Diesel,4x4,7.9 l/100km,207 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,151349.0
Mercedes-Benz,GLS 350,Germany,5/2019,132 850 km,255 hp,Automatic,Diesel,4x4,9.7 l/100km,256 g/km,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7.0,56349.0
Audi,RSQ8,Germany,9/2020,107 000 km,591 hp,Automatic,Petrol,4x4,12.1 l/100km,277 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,98499.0
Audi,RS7,Poland,1/2024,20 km,621 hp,Automatic,Petrol,4x4,12 l/100km,263 g/km,Grey,,Alcantara interior,Sedans / saloons,4/5 doors,5.0,153749.0
Lamborghini,Urus,Austria,1/2023,32 500 km,641 hp,Automatic,Petrol,4x4,13.6 l/100km,325 g/km,Green,Black interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,296099.0
Audi,RS7,Germany,11/2024,2 000 km,621 hp,Automatic,Petrol,4x4,12 l/100km,263 g/km,Blue,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4.0,150399.0
Audi,S8,Poland,1/2024,10 km,563 hp,Automatic,Petrol,4x4,11.3 l/100km,258 g/km,Black,,Full leather interior,Sedans / saloons,4/5 doors,5.0,153749.0
Audi,RSQ8,Germany,8/2024,10 km,591 hp,Automatic,Petrol,4x4,12.1 l/100km,277 g/km,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,164149.0
Audi,RSQ8,Spain,6/2021,37 200 km,591 hp,Automatic,Petrol,4x4,12.1 l/100km,277 g/km,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,135549.0
Lamborghini,Urus,Spain,6/2021,26 980 km,641 hp,Automatic,Petrol,4x4,12.7 l/100km,325 g/km,Orange,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,278899.0
Lamborghini,Urus,Germany,6/2024,70 km,657 hp,Automatic,Petrol,4x4,13.4 l/100km,320 g/km,Black,Grey interior,Alcantara interior,SUV / offroad,4/5 doors,5.0,414249.0
Audi,SQ8,Germany,1/2024,15 000 km,500 hp,Automatic,Petrol,4x4,12 l/100km,275 g/km,Black,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,98699.0
Audi,RS7,Austria,8/2015,88 000 km,553 hp,Automatic,Petrol,4x4,9.5 l/100km,221 g/km,Red,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,4.0,61399.0
Audi,R8,Germany,7/2024,20 km,612 hp,Automatic,Petrol,4x4,13.1 l/100km,293 g/km,Black,Black interior,Full leather interior,Coupe,2/3 doors,2.0,217049.0
Audi,Q8,Italy,1/2023,64 900 km,282 hp,Automatic,Other fuel type,4x4,,,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,72999.0
Audi,Q8,Poland,1/2018,124 000 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,White,,Full leather interior,SUV / offroad,4/5 doors,5.0,63849.0
Lamborghini,Urus,France,1/2023,14 300 km,657 hp,Automatic,Petrol,4x4,13.4 l/100km,320 g/km,Green,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,384049.0
Audi,Q8,Germany,2/2020,73 631 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Brown,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,63799.0
Audi,RS7,Germany,10/2020,67 500 km,591 hp,Automatic,Petrol,4x4,12 l/100km,263 g/km,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4.0,93199.0
Audi,RS7,Poland,1/2024,20 km,621 hp,Automatic,Petrol,4x4,12 l/100km,263 g/km,Black,,Full leather interior,Sedans / saloons,4/5 doors,5.0,164549.0
Audi,RS7,Germany,8/2024,10 km,621 hp,Automatic,Petrol,4x4,12 l/100km,263 g/km,Blue,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4.0,150399.0
Audi,SQ8,Poland,1/2022,4 500 km,500 hp,Automatic,Petrol,4x4,12 l/100km,275 g/km,Blue,,Full leather interior,SUV / offroad,4/5 doors,5.0,127349.0
Audi,R8,Germany,6/2024,2 000 km,612 hp,Automatic,Petrol,4x4,13.1 l/100km,293 g/km,Green,Black interior,Full leather interior,Coupe,2/3 doors,2.0,224449.0
Audi,R8,Germany,9/2024,9 999 km,562 hp,Automatic,Petrol,4x2,12.8 l/100km,291 g/km,Beige,Black interior,Full leather interior,Coupe,2/3 doors,2.0,162699.0
Audi,S8,Spain,6/2020,56 000 km,563 hp,Automatic,Petrol,4x4,11.3 l/100km,258 g/km,Blue,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5.0,102099.0
Lamborghini,Urus,Germany,8/2024,1 060 km,657 hp,Automatic,Petrol,4x4,14.5 l/100km,320 g/km,,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5.0,455099.0
Audi,Q8,Germany,1/2024,14 830 km,282 hp,Automatic,Diesel,4x4,7.1 l/100km,187 g/km,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,78599.0
