Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Audi,A8,Germany,2017,62000,259,Automatic,Diesel,4x4,5.9,155,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,4,33599
Audi,A4,Belgium,2023,34446,134,Automatic,Diesel,4x2,4.2,109,Black,Brown interior,Full leather interior,Station Wagon,4/5 doors,5,37549
BMW,X6,Poland,2020,136200,308,Automatic,Diesel,4x4,8.0,195,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,69749
BMW,318,Germany,2018,68335,134,Automatic,Petrol,4x2,8.0,195,White,Other interior color,Other interior material,Station Wagon,4/5 doors,5,21049
Mercedes-Benz,CLA 200 Shooting Brake,Germany,2020,32600,161,Automatic,Petrol,4x2,11.0,260,White,Black interior,Part leather interior,Station Wagon,4/5 doors,5,32349
BMW,X4,Italy,2024,100,188,Automatic,Diesel,4x4,8.0,195,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,69449
Mercedes-Benz,S 350,Germany,2021,13300,282,Automatic,Diesel,4x4,11.0,260,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,102999
Volkswagen,Passat,Germany,2021,123587,121,Automatic,Diesel,4x2,5.0,113,Grey,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,18249
Volkswagen,Polo,Netherlands,2022,39687,94,Automatic,Petrol,4x2,5.6,105,Beige,Other interior color,Cloth interior,Hatchback,4/5 doors,5,21649
Land Rover,Range Rover Evoque,Poland,2023,4266,161,Automatic,Diesel,4x4,6.5,139,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,50549
Volkswagen,Polo,Netherlands,2022,28154,94,Automatic,Petrol,4x2,5.6,105,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,22099
Mercedes-Benz,Sprinter,Germany,2023,35291,168,Automatic,Diesel,4x2,11.0,260,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,37849
Peugeot,208,Netherlands,2022,41251,74,Manual,Petrol,4x2,5.3,94,Grey,Other interior color,Cloth interior,Hatchback,4/5 doors,5,17299
Dacia,Sandero,Italy,2020,95364,89,Manual,Petrol,4x2,5.3,120,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,11399
Kia,Ceed,Austria,2021,29300,99,Manual,Petrol,4x2,5.0,120,Brown,Other interior color,Other interior material,Station Wagon,4/5 doors,5,20799
DS Automobiles,DS7 Crossback,Spain,2023,15000,127,Automatic,Diesel,4x2,4.0,105,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,36699
Ford,Transit,Germany,2023,2,129,Manual,Diesel,4x2,7.9,167,Silver,Other interior color,Cloth interior,Cargo VAN,2/3 doors,3,37899
Ford,Focus,Germany,2021,67492,123,Manual,Petrol,4x2,5.6,108,Blue,Black interior,Other interior material,Station Wagon,4/5 doors,5,14699
Volkswagen,Tiguan,Germany,2023,26490,148,Automatic,Petrol,4x2,5.8,133,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,35699
Audi,A4,Germany,2024,5,201,Automatic,Petrol,4x2,5.7,131,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,52149
Ford,Focus,Germany,2017,92100,345,Manual,Petrol,4x4,7.7,175,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,27849
Kia,Stonic,Germany,2018,19900,83,Manual,Petrol,4x2,5.7,131,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,13349
Cupra,Formentor,Germany,2024,20,148,Automatic,Petrol,4x2,5.5,126,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,30449
Škoda,Superb,Germany,2020,149982,188,Automatic,Diesel,4x4,5.3,138,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5,25199
Volkswagen,Caddy,Germany,2018,50881,83,Manual,Petrol,4x2,6.1,139,Orange,Black interior,Cloth interior,Cargo VAN,2/3 doors,2,12899
BMW,118,Germany,2021,58986,134,Manual,Petrol,4x2,8.0,195,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,23649
Seat,Alhambra,Germany,2019,72013,148,Automatic,Petrol,4x2,6.9,158,Grey,Black interior,Cloth interior,MPV,4/5 doors,7,29549
BMW,550,Germany,2017,116379,456,Automatic,Petrol,4x4,8.0,195,White,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,38699
Peugeot,208,Italy,2020,44200,74,Manual,Petrol,4x2,5.3,94,Red,Grey interior,Cloth interior,Hatchback,4/5 doors,5,14399
Volkswagen,Caddy,Germany,2022,20000,113,Manual,Petrol,4x2,5.8,130,Silver,Black interior,Alcantara interior,Cargo VAN,4/5 doors,5,30399
BMW,X4,Germany,2023,51500,282,Automatic,Diesel,4x4,8.0,195,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,62749
Škoda,Kamiq,Germany,2024,24086,109,Manual,Petrol,4x2,5.1,116,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,22999
Audi,Q2,Italy,2023,26960,114,Automatic,Diesel,4x2,5.1,116,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,34899
Cupra,Formentor,Italy,2023,19897,148,Automatic,Other fuel type,4x2,7.0,150,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,29949
Audi,Q5,Poland,2024,1,201,Automatic,Diesel,4x4,5.4,142,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,64749
Seat,Arona,Germany,2021,25910,109,Automatic,Petrol,4x2,4.8,109,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,20399
Volkswagen,Caddy,Germany,2024,0,114,Manual,Diesel,4x2,4.5,120,Grey,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,33649
Seat,Leon,Germany,2019,114505,114,Manual,Diesel,4x2,4.2,109,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,13699
Audi,Q5,Germany,2019,93000,188,Automatic,Diesel,4x4,5.7,144,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,27849
Volkswagen,Passat,Germany,2023,16934,188,Automatic,Petrol,4x2,7.2,146,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,44749
Volkswagen,Golf,Germany,2024,10,148,Automatic,Petrol,4x2,5.4,124,White,Black interior,Velour interior,Station Wagon,4/5 doors,5,36249
Ford,Ranger,Germany,2024,450,168,Manual,Diesel,4x4,6.9,179,White,Grey interior,Cloth interior,Pick-up,2/3 doors,2,37649
